Day,Spend,Impressions
1/09/2024,"$500,00",28.850
2/09/2024,"$516,00",29.756
3/09/2024,"$480,00",27.713
4/09/2024,"$520,00",30.029
5/09/2024,"$490,00",28.290
6/09/2024,"$507,00",29.244
7/09/2024,"$484,00",27.903
8/09/2024,"$519,00",29.932
9/09/2024,"$497,00",28.667
10/09/2024,"$509,00",29.346
11/09/2024,"$487,00",28.090
12/09/2024,"$518,00",29.886
13/09/2024,"$491,00",28.317
14/09/2024,"$516,00",29.771
15/09/2024,"$488,00",28.174
16/09/2024,"$506,00",29.086
17/09/2024,"$485,00",27.949
18/09/2024,"$519,00",29.935
19/09/2024,"$496,00",28.604
20/09/2024,"$508,00",29.302
21/09/2024,"$487,00",28.052
22/09/2024,"$518,00",29.894
23/09/2024,"$492,00",28.365
24/09/2024,"$515,00",29.716
25/09/2024,"$488,00",28.147
26/09/2024,"$506,00",29.208
27/09/2024,"$484,00",27.864
28/09/2024,"$520,00",30.006
29/09/2024,"$495,00",28.563
30/09/2024,"$516,00",29.783
1/10/2024,"$481,17",27.564
2/10/2024,"$503,57",28.848
3/10/2024,"$495,07",28.361
4/10/2024,"$489,88",28.064
5/10/2024,"$472,67",27.078
6/10/2024,"$472,67",27.078
7/10/2024,"$468,86",26.860
8/10/2024,"$500,28",28.660
9/10/2024,"$489,98",28.069
10/10/2024,"$494,14",28.307
11/10/2024,"$467,41",26.776
12/10/2024,"$504,32",28.891
13/10/2024,"$498,97",28.584
14/10/2024,"$474,86",27.203
15/10/2024,"$473,67",27.135
16/10/2024,"$473,74",27.139
17/10/2024,"$478,43",27.408
18/10/2024,"$487,01",27.899
19/10/2024,"$483,40",27.692
20/10/2024,"$477,93",27.379
21/10/2024,"$490,40",28.093
22/10/2024,"$472,03",27.041
23/10/2024,"$477,96",27.381
24/10/2024,"$480,85",27.546
25/10/2024,"$484,34",27.746
26/10/2024,"$497,14",28.479
27/10/2024,"$474,37",27.175
28/10/2024,"$486,60",27.876
29/10/2024,"$489,64",28.050
30/10/2024,"$468,41",26.834
31/10/2024,"$490,23",28.084
1/11/2024,"$842,60 ",48.290
2/11/2024,"$806,18 ",46.202
3/11/2024,"$797,39 ",45.699
4/11/2024,"$871,04 ",49.919
5/11/2024,"$872,44 ",50.000
6/11/2024,"$859,33 ",49.248
7/11/2024,"$817,35 ",46.843
8/11/2024,"$800,11 ",45.854
9/11/2024,"$848,99 ",48.656
10/11/2024,"$828,65 ",47.490
11/11/2024,"$802,14 ",45.971
12/11/2024,"$833,23 ",47.753
13/11/2024,"$794,78 ",45.549
14/11/2024,"$867,74 ",49.730
15/11/2024,"$813,53 ",46.624
16/11/2024,"$847,18 ",48.552
17/11/2024,"$817,94 ",46.876
18/11/2024,"$835,31 ",47.872
19/11/2024,"$837,53 ",47.999
20/11/2024,"$807,37 ",46.271
21/11/2024,"$872,77 ",50.019
22/11/2024,"$856,56 ",49.090
23/11/2024,"$870,26 ",49.875
24/11/2024,"$866,54 ",49.662
25/11/2024,"$841,79 ",48.243
26/11/2024,"$868,79 ",49.791
27/11/2024,"$799,34 ",45.810
28/11/2024,"$808,30 ",46.324
29/11/2024,"$795,74 ",45.604
30/11/2024,"$819,08 ",46.942
1/12/2024,"$799,90 ",45.843
2/12/2024,"$790,44 ",45.300
3/12/2024,"$835,39 ",47.876
4/12/2024,"$797,33 ",45.695
5/12/2024,"$791,21 ",45.344
6/12/2024,"$812,32 ",46.554
7/12/2024,"$779,92 ",44.697
8/12/2024,"$833,25 ",47.754
9/12/2024,"$774,57 ",44.391
10/12/2024,"$846,77 ",48.529
11/12/2024,"$830,83 ",47.615
12/12/2024,"$784,58 ",44.965
13/12/2024,"$769,01 ",44.072
14/12/2024,"$834,32 ",47.815
15/12/2024,"$825,56 ",47.313
16/12/2024,"$827,35 ",47.416
17/12/2024,"$830,75 ",47.611
18/12/2024,"$774,53 ",44.389
19/12/2024,"$797,46 ",45.703
20/12/2024,"$777,90 ",44.582
21/12/2024,"$838,16 ",48.035
22/12/2024,"$818,82 ",46.927
23/12/2024,"$795,24 ",45.575
24/12/2024,"$773,68 ",44.340
25/12/2024,"$793,63 ",45.483
26/12/2024,"$794,78 ",45.549
27/12/2024,"$827,39 ",47.418
28/12/2024,"$819,97 ",46.993
29/12/2024,"$840,10 ",48.146
30/12/2024,"$806,64 ",46.229
31/12/2024,"$778,20 ",44.599
1/01/2025,"$815,48 ",46.735
2/01/2025,"$817,78 ",46.867
3/01/2025,"$808,13 ",46.314
4/01/2025,"$818,28 ",46.896
5/01/2025,"$804,87 ",46.127
6/01/2025,"$806,27 ",46.208
7/01/2025,"$801,66 ",45.943
8/01/2025,"$782,27 ",44.832
9/01/2025,"$786,19 ",45.057
10/01/2025,"$782,49 ",44.845
11/01/2025,"$811,77 ",46.523
12/01/2025,"$796,18 ",45.629
13/01/2025,"$805,58 ",46.168
14/01/2025,"$824,89 ",47.275
15/01/2025,"$793,04 ",45.449
16/01/2025,"$800,83 ",45.896
17/01/2025,"$817,53 ",46.853
18/01/2025,"$792,04 ",45.392
19/01/2025,"$784,70 ",44.971
20/01/2025,"$794,99 ",45.561
21/01/2025,"$788,77 ",45.205
22/01/2025,"$825,96 ",47.336
23/01/2025,"$820,08 ",46.999
24/01/2025,"$811,62 ",46.514
25/01/2025,"$823,14 ",47.174
26/01/2025,"$819,86 ",46.987
27/01/2025,"$790,00 ",45.275
28/01/2025,"$824,16 ",47.233
29/01/2025,"$807,07 ",46.254
30/01/2025,"$820,04 ",46.997
31/01/2025,"$824,33 ",47.243
