Day,SPEND,impressions
1-sept,"$1.945,86",267.296
2-sept,"$2.048,18",281.519
3-sept,"$1.982,35",272.330
4-sept,"$1.919,48",263.510
5-sept,"$1.849,55",253.967
6-sept,"$1.888,28",258.277
7-sept,"$1.961,91",268.336
8-sept,"$2.023,42",276.960
9-sept,"$1.940,12",265.997
10-sept,"$1.977,89",271.720
11-sept,"$1.858,62",255.251
12-sept,"$2.034,66",278.502
13-sept,"$2.009,18",274.970
14-sept,"$1.886,43",258.019
15-sept,"$1.870,06",255.745
16-sept,"$1.883,47",257.616
17-sept,"$1.902,36",260.204
18-sept,"$1.931,25",264.167
19-sept,"$1.948,38",266.534
20-sept,"$1.890,54",258.510
21-sept,"$1.966,08",268.977
22-sept,"$1.873,94",256.295
23-sept,"$1.907,83",260.932
24-sept,"$1.934,20",264.576
25-sept,"$1.953,25",267.201
26-sept,"$2.015,67",275.801
27-sept,"$1.880,71",257.238
28-sept,"$1.940,92",266.109
29-sept,"$1.963,10",269.251
30-sept,"$1.878,10",256.878
1-oct,"$1.921,96",264.732
2-oct,"$2.034,10",280.179
3-oct,"$1.991,53",274.315
4-oct,"$1.965,58",270.741
5-oct,"$1.879,42",258.874
6-oct,"$1.879,42",258.873
7-oct,"$1.860,36",256.248
8-oct,"$2.017,65",277.913
9-oct,"$1.966,06",270.806
10-oct,"$1.986,87",273.674
11-oct,"$1.853,06",255.243
12-oct,"$2.037,84",280.694
13-oct,"$2.011,08",277.008
14-oct,"$1.890,38",260.384
15-oct,"$1.884,45",259.566
16-oct,"$1.884,75",259.608
17-oct,"$1.908,27",262.847
18-oct,"$1.951,19",268.759
19-oct,"$1.933,13",266.271
20-oct,"$1.905,74",262.499
21-oct,"$1.968,15",271.094
22-oct,"$1.876,21",258.431
23-oct,"$1.905,92",262.523
24-oct,"$1.920,36",264.513
25-oct,"$1.937,82",266.918
26-oct,"$2.001,88",275.741
27-oct,"$1.887,92",260.044
28-oct,"$1.949,14",268.477
29-oct,"$1.964,36",270.573
30-oct,"$1.858,10",255.936
31-oct,"$1.967,31",270.979
1-nov,"$1.695,49",281.637
2-nov,"$1.774,26",294.129
3-nov,"$1.707,41",282.996
4-nov,"$1.635,80",271.637
5-nov,"$1.558,01",258.467
6-nov,"$1.592,25",264.159
7-nov,"$1.655,01",274.786
8-nov,"$1.708,48",283.172
9-nov,"$1.678,74",278.225
10-nov,"$1.727,37",286.178
11-nov,"$1.601,99",265.999
12-nov,"$1.753,61",290.975
13-nov,"$1.701,46",282.003
14-nov,"$1.599,84",265.643
15-nov,"$1.582,18",262.699
16-nov,"$1.593,88",264.656
17-nov,"$1.609,42",267.224
18-nov,"$1.632,76",270.982
19-nov,"$1.647,81",273.499
20-nov,"$1.595,79",265.005
21-nov,"$1.660,46",275.603
22-nov,"$1.585,49",263.231
23-nov,"$1.615,71",268.298
24-nov,"$1.634,92",271.655
25-nov,"$1.648,44",273.602
26-nov,"$1.701,31",282.001
27-nov,"$1.586,93",263.469
28-nov,"$1.636,50",271.794
29-nov,"$1.658,11",275.215
30-nov,"$1.583,07",262.843
1-dic,"$1.638,20",297.228
2-dic,"$1.653,42",300.000
3-dic,"$1.581,99",287.181
4-dic,"$1.609,74",292.210
5-dic,"$1.651,11",299.582
6-dic,"$1.592,34",288.815
7-dic,"$1.678,16",304.491
8-dic,"$1.615,99",293.181
9-dic,"$1.579,38",286.714
10-dic,"$1.642,05",298.101
11-dic,"$1.593,27",288.982
12-dic,"$1.675,42",304.000
13-dic,"$1.602,58",290.318
14-dic,"$1.629,87",295.248
15-dic,"$1.643,98",298.445
16-dic,"$1.617,43",293.472
17-dic,"$1.652,57",299.856
18-dic,"$1.608,17",291.920
19-dic,"$1.599,26",290.350
20-dic,"$1.640,02",297.730
21-dic,"$1.622,87",294.458
22-dic,"$1.598,52",290.217
23-dic,"$1.634,72",296.650
24-dic,"$1.608,58",292.001
25-dic,"$1.629,13",295.114
26-dic,"$1.603,71",290.519
27-dic,"$1.648,90",299.242
28-dic,"$1.588,43",287.993
29-dic,"$1.660,94",301.373
30-dic,"$1.636,79",296.994
31-dic,"$1.585,28",287.416
1-ene,"$1.620,55",235.451
2-ene,"$1.683,48",244.496
3-ene,"$1.573,22",228.382
4-ene,"$1.629,03",236.727
5-ene,"$1.657,41",240.804
6-ene,"$1.590,16",230.877
7-ene,"$1.646,74",239.233
8-ene,"$1.598,82",232.085
9-ene,"$1.651,12",239.679
10-ene,"$1.588,27",230.601
11-ene,"$1.668,55",242.016
12-ene,"$1.634,79",237.051
13-ene,"$1.615,96",234.361
14-ene,"$1.581,29",229.098
15-ene,"$1.644,83",238.958
16-ene,"$1.623,14",235.792
17-ene,"$1.660,05",241.253
18-ene,"$1.599,54",232.188
19-ene,"$1.635,43",237.140
20-ene,"$1.590,79",230.964
21-ene,"$1.667,01",241.794
22-ene,"$1.604,82",232.841
23-ene,"$1.639,05",237.668
24-ene,"$1.586,41",230.336
25-ene,"$1.654,63",240.183
26-ene,"$1.609,72",233.563
27-ene,"$1.646,09",239.141
28-ene,"$1.597,28",231.864
29-ene,"$1.661,52",241.469
30-ene,"$1.586,90",230.404
31-ene,"$1.657,94",240.879
